lat,lon,AttackID,Vessel,Status,Location,Narration,Date
1.0833334,103.7,140-19,Crude Oil Tanker,Boarded,Singapore Straits.,"Five robbers armed with knives and crowbars boarded a tanker underway and entered the engine room. Duty Engine crew noticed the robbers and raised the alarm, resulting in the robbers escaping without stealing anything. Incident reported to Singapore VTIS.",2019-10-18 22:07:00+07:00
4.549046,7.197075,139-19,Passenger Boat,Boarded,Nigeria.,Ten armed persons attacked a passenger boat and kidnapped four Immigration Officers. The Nigerian Navy rescued the kidnapped Immigration Officers on 13 November. No casualties reported.,2019-11-11 08:30:00+01:00
6.2483335,2.5483334,138-19,Bulk Carrier,Boarded,"Around 9nm SE of Cotonou, Benin.",Armed persons boarded an anchored bulk carrier. Incident reported to the Authorities who dispatched a patrol boat to the ship,2019-11-02 04:20:00+01:00
1.2016667,103.5675,137-19,Product Tanker,Attempted,Singapore Straits.,Six persons in two speed boats approached a tanker underway. Duty crew noticed the persons attempting to board the tanker and raised the alarm. Master increased the speed and took evasive manoeuvres resulting in the persons aborting the boarding attempt.,2019-11-05 19:48:00+08:00
30.426043,-9.647907,136-19,Bulk Carrier,Boarded,"Silos Terminal, Agadir Port, Morocco.","Duty officer onboard a berthed bulk carrier noticed four unauthorized persons onboard the vessel. Alarm raised and crew mustered. Seeing the alerted crew, the persons escaped.  On searching the vessel nothing reported stolen.",2019-11-08 03:05:00+01:00
1.2183334,6.1516666,135-19,Crude Oil Tanker,Fired Upon,"Around 57nm NNW of Sao Tome Island, Sao Tome and Principe.","Armed persons in a skiff approached and fired upon a tanker underway. Alarm raised, vessel increased speed and commenced evasive manoeuvers. Fire pump activated, and four parachute rockets discharged. Due to the actions of the Master and crew, the skiff aborted and moved away. Vessel and crew safe.",2019-11-07 00:15:00+00:00
5.9666667,1.25,134-19,Product Tanker,Boarded,"Around 9nm SSE of Lome, Togo.",Three persons armed with guns and knives boarded an anchored tanker and shot one armed guard in his leg. They entered into the accommodation and tried to force their way into the captain,2019-11-04 02:40:00+00:00
3.7880588,98.69406,133-19,Product Tanker,Attempted,"Belawan Port, Indonesia.","During security rounds, crew onboard a berthed tanker noticed one unknown person trying to board the vessel using a grappling hook. Upon being noticed, the person escaped. Incident reported to Port Authority.",2019-11-08 02:00:00+07:00
1.7166667,101.434166,132-19,Product Tanker,Boarded,"Dumai Inner Anchorage, Indonesia.","Duty officer onboard an anchored tanker noticed four robbers on deck and informed Master. Alarm raised, crew mustered, and PA announcement made. The robbers escaped without stealing anything and a search carried out. Incident reported to local agent.",2019-10-09 02:20:00+07:00
3.9166667,98.8,131-12,Product Tanker,Attempted,"Belawan Anchorage, Indonesia.","Duty crew onboard an anchored tanker noticed a person attempting to board via the anchor chain, while two other persons were waiting in the boat alongside the tanker. The duty crew reported the incident to the OOW who raised the alarm. Seeing the alerted crew, the persons escaped in their boat.",2019-10-15 05:00:00+07:00
1.05,103.63333,130-19,Product Tanker,Boarded,Singapore Straits.,"Alert crew onboard a tanker underway noticed four robbers on deck and raised the alarm. Hearing the alerted crew, the robbers escaped without stealing anything. Incident reported to Singapore VTIS.",2019-10-25 04:15:00+07:00
-4.7530556,11.779445,129-19,Container,Boarded,"Pointe Noire South Anchorage, The Congo.","Duty officer on routine rounds, onboard an anchored container vessel noticed a mooring rope in the water and notified the bridge. Alarm raised and crew mustered. Investigations showed the forward storeroom door was opened, and ship",2019-10-20 04:20:00+01:00
-6.017537,105.935745,128-19,Bulk Carrier,Boarded,"Cigading Anchorage, Indonesia.",Alert crew onboard an anchored bulk carrier noticed four unauthorized persons near the entrance of the engine room. Alarm raised and crew mustered. Hearing the alerted crew the persons escaped without stealing anything.,2019-10-22 00:47:00+07:00
6.456952,3.3720195,127-19,Product Tanker,Boarded,"Lagos, Nigeria.","During cargo operations, around seven to eight armed persons in two wooden boats came alongside and boarded a berthed tanker. Alert crew noticed the persons, raised the alarm and stopped the discharging operations. Before escaping, the persons fired towards the crew. No injuries reported. Cargo from the terminal",2019-10-06 23:30:00+01:00
4.3519444,6.866667,126-19,Fishing Vessel,Boarded,Nigeria.,"A fishing vessel, having machinery problems drifted to the mouth of Sambreiro river where it was attacked by several persons. The persons vandaliZed the vessel and escaped. The vessel owners notified the Nigerian Navy who were able to located and inspect the vessel.",2019-10-05 13:00:00+01:00
1.0575,103.645,125-19,Bulk Carrier,Boarded,Singapore Straits.,Duty oiler on routine rounds onboard a bulk carrier underway was taken hostage by five robbers armed with a gun and knives. The robbers threatened the oiler and tied his hands. They then stole ships spares and escaped. The oiler reported the incident to the OOW who raised the alarm and notified Singapore VTIS.,2019-10-20 00:00:00+07:00
